gen2_model,gen2_variant,gen2_target_tag,champion,n_test,b_champ_only_correct,c_gen2_only_correct,mcnemar_statistic,p_value,winner,significant_p_lt_0_05,gen2_f1_minority,champion_f1_minority,delta_f1_minority
bertimbau-base,raw-ml256-bin,bin,linearsvc__tfidf-aggr-mc8,16627,307,389,9.426724137931034,0.002138459475804508,gen2,True,0.8754270097927579,0.8535506402793946,0.021876369513363247
bertimbau-base,raw-ml256-mc8,mc8,linearsvc__tfidf-aggr-mc8,16627,302,411,16.359046283309958,5.240542327628128e-05,gen2,True,0.8830409356725146,0.8535506402793946,0.02949029539311998
deb3rta-base,raw-ml256-bin,bin,linearsvc__tfidf-aggr-mc8,16627,671,259,181.63548387096773,2.129788900956618e-41,champion,True,0.7702493930699624,0.8535506402793946,-0.08330124720943222
deb3rta-base,raw-ml256-mc8,mc8,linearsvc__tfidf-aggr-mc8,16627,573,263,114.21172248803828,1.1711205651141804e-26,champion,True,0.7907287720080232,0.8535506402793946,-0.06282186827137148
distilbertimbau,raw-ml256-bin,bin,linearsvc__tfidf-aggr-mc8,16627,367,353,0.23472222222222222,0.6280442650050153,champion,False,0.8550169109357384,0.8535506402793946,0.0014662706563437489
distilbertimbau,raw-ml256-mc8,mc8,linearsvc__tfidf-aggr-mc8,16627,345,387,2.296448087431694,0.12967022490828098,gen2,False,0.8704480247186052,0.8535506402793946,0.016897384439210517
finbert-ptbr,raw-ml256-bin,bin,linearsvc__tfidf-aggr-mc8,16627,326,373,3.027181688125894,0.08188012787065545,gen2,False,0.8654646324549237,0.8535506402793946,0.01191399217552902
finbert-ptbr,raw-ml256-mc8,mc8,linearsvc__tfidf-aggr-mc8,16627,305,409,14.858543417366947,0.00011588198933398236,gen2,True,0.8814095324147279,0.8535506402793946,0.027858892135333213
xlmr-base,raw-ml256-bin,bin,linearsvc__tfidf-aggr-mc8,16627,370,366,0.012228260869565218,0.9119482444395097,champion,False,0.8577847674679847,0.8535506402793946,0.004234127188590064
xlmr-base,raw-ml256-mc8,mc8,linearsvc__tfidf-aggr-mc8,16627,325,388,5.391304347826087,0.020237338068274956,gen2,True,0.8729232150875618,0.8535506402793946,0.01937257480816712
